evaluations raw_y
1 12.2990015441
3 8.4203624885
9 7.6288057966
49 7.2186044510
178 7.1605486309
200 6.2645361504
291 5.1717996192
333 3.6691174790
353 2.5010100762
5000 21.3447459936
evaluations raw_y
1 13.9516519944
2 10.2666291261
6 9.4635921685
7 6.1165401220
10 6.3093268269
30 4.8098812680
257 3.4396246761
272 3.1986689372
1187 2.7978557159
1235 2.5513653178
2860 1.9463994477
3740 1.7279279037
4014 1.5694323980
4041 1.5367973051
4059 1.3911785740
4321 1.3217644630
4448 1.3212741547
4475 1.2694970837
4582 1.2512744984
4615 1.2507315310
4896 1.2480461405
4948 1.2475494145
4971 1.2475063258
4989 1.2469059678
5000 1.2539163715
evaluations raw_y
1 20.1205841681
2 12.4768343613
4 10.0843864146
7 8.9384822051
16 8.2002724285
22 3.5817161744
39 3.0598925644
3753 2.6356617685
4237 1.6777850352
4459 1.4834733901
4686 1.4241190754
4898 1.2940487901
5000 1.8584842172
evaluations raw_y
1 5.8589787096
7 3.4374453871
43 3.3331090932
472 3.0151498032
1741 2.5058930584
3375 1.7389549561
4206 1.4413957102
4500 1.3981593895
4717 1.3737711791
4768 1.2230761066
4851 1.2110341671
4881 1.1352630808
4981 1.0813947610
4994 1.0312933783
5000 1.4166580157
evaluations raw_y
1 10.2256396611
2 9.3317641558
9 8.5556301097
15 3.6532330998
137 2.2860125369
5000 21.5563158733
evaluations raw_y
1 12.3867518584
10 8.5624264743
11 8.2026637491
24 7.0105075360
36 4.6432867578
132 4.5338422836
154 2.8052485701
475 3.3487892243
566 3.4092752396
1307 3.1698482778
1995 2.1394269825
2510 1.7884073585
5000 5.2515009697
evaluations raw_y
1 21.6197911238
2 13.4044569101
4 5.5211665902
92 4.7118400278
698 3.5805722656
1244 3.1481993636
1245 3.1971015210
2029 3.1446617204
2110 2.5903016080
2442 2.0960134427
4483 1.8203043438
4766 1.7044536061
4808 1.6654698115
4878 1.3332316839
5000 1.5440889985
evaluations raw_y
1 14.7222767371
2 7.4355218777
12 6.4115330195
102 6.0923636674
122 5.4833103089
123 3.7617959831
289 2.5668883595
829 2.1895952234
5000 19.6500044302
evaluations raw_y
1 22.1957240664
2 11.3610695306
6 9.9827385846
17 6.7276636259
59 4.2597784554
1126 2.1137638559
1326 3.9216881899
1369 3.3228878697
3567 3.0033384707
5000 3.7773947042
evaluations raw_y
1 26.2575933428
2 13.7166225831
5 9.9075231683
9 9.2809945178
12 5.9431973874
46 4.7567183130
216 4.5219849580
373 3.5608343194
1173 2.2922381337
5000 15.6315272755
evaluations raw_y
1 16.1024918342
6 15.8323950490
9 13.9899268595
10 10.5461528568
16 8.4052330988
20 5.3080644383
97 4.7226691254
154 4.0498183958
243 3.9465834198
519 3.6399054269
1018 3.2224712877
1182 3.2051128898
1545 2.6517096506
2415 1.9552214491
4671 1.8308476557
5000 22.8483776222
evaluations raw_y
1 20.1759344389
2 12.8447986812
3 8.8252931644
8 5.5966473409
79 4.0195216816
194 4.0560329953
648 2.4289633902
4696 2.3032289057
4711 1.8722743242
4787 1.8329604681
4788 1.8071016869
4792 1.8048680377
4811 1.7114757051
4823 1.6052143451
4838 1.5782392138
4849 1.3001457681
5000 2.1231290978
evaluations raw_y
1 24.7860514258
2 16.2937239761
5 8.2498640430
7 7.9537974037
11 7.2738214883
26 6.3280746795
37 4.6687117839
76 3.0144277846
523 3.0072648319
1056 2.1170766269
5000 13.5563815021
evaluations raw_y
1 5.3505781565
22 5.0580014428
63 2.1917524867
5000 16.6731519641
evaluations raw_y
1 5.6363889028
60 3.8221644867
486 2.9939780539
771 2.1278465425
2385 1.8823245045
3618 1.8476129190
5000 7.1708220367
evaluations raw_y
1 5.4407705121
98 4.3658510618
273 3.4175593085
327 2.6884217304
527 2.2206998072
1167 1.5460228511
5000 2.1234618702
evaluations raw_y
1 15.9232756405
4 11.3334365281
7 9.8111127067
18 7.1464587173
71 5.3478951749
98 4.7610726115
105 2.6138868659
1519 1.1554073838
5000 7.2679547534
evaluations raw_y
1 15.9293496637
2 13.2072904291
3 4.1091473978
97 3.7262640059
525 2.9370198453
703 2.5844156210
2832 2.5840007712
4550 2.1693974253
5000 12.8304475318
evaluations raw_y
1 18.3444616554
3 15.5902633422
4 14.4051734968
6 10.6165152513
9 5.9188064220
10 4.8324903363
62 4.0652294343
310 2.5898475465
2606 2.4301390401
2681 1.9234019114
2691 1.4660037867
3047 1.3081240140
3070 1.2054179785
3083 0.9152653442
3385 0.8723896905
3528 0.8592304512
3632 0.7854325688
3936 0.7850847503
3975 0.7607848480
4089 0.7490057692
4108 0.7327869987
4113 0.7279014559
4154 0.7161884742
4161 0.7039365697
4224 0.6994641908
4367 0.6883316039
4409 0.6857840998
4418 0.6848531884
4436 0.6833825227
4461 0.6766550060
4568 0.6765045070
4609 0.6741062932
4657 0.6739302862
4685 0.6719073316
4689 0.6662929467
4755 0.6631648807
4799 0.6599949604
5000 0.6717098488
evaluations raw_y
1 9.7438662173
2 8.1726327110
15 6.1813709539
20 5.5582535455
69 1.7685178729
5000 2.8571519754
