evaluations raw_y
1 9.8656721586
21 6.5351237320
55 1.6636773815
5000 3.6609394947
evaluations raw_y
1 11.5429652535
2 8.3645617983
3 4.9409971137
37 4.2509275514
48 3.5521238418
203 2.8451420828
551 2.5776757372
973 2.2276908100
3476 1.9240852417
3514 1.7588460948
3588 1.4716676536
3603 1.3811275482
3621 1.3228718142
3629 0.9178415262
3664 0.8734730954
3697 0.8160013995
3766 0.7348833339
3957 0.7273202317
3965 0.7270927502
3970 0.7213947363
3971 0.7055748623
3998 0.7008803811
4010 0.6842334677
4024 0.6831913083
4027 0.6818516222
4033 0.6782231577
4045 0.6676638948
4071 0.6621976177
4113 0.6542380402
4203 0.6360791455
4311 0.6338883780
4360 0.6297736745
4363 0.6282384492
4400 0.6262578433
4409 0.6256418864
4598 0.6223201559
4653 0.6190674522
4708 0.6186796976
4742 0.6172732584
4794 0.6161972616
4807 0.6150164833
4852 0.6147970030
4884 0.6146609072
4952 0.6136940445
4976 0.6134562911
5000 0.6151256517
evaluations raw_y
1 21.6423106554
2 14.7643328307
5 8.3127850965
26 6.6018985966
49 6.9182135275
50 5.2727485289
186 3.9850532834
521 3.5580337126
840 3.0276187425
3013 2.6956264902
3731 2.4412174074
4557 2.0888979481
5000 7.2323298048
evaluations raw_y
1 5.7750918256
133 3.4406002166
869 2.9821855946
2181 2.8211846607
3311 2.3778748209
3485 1.9760034796
5000 7.7555664408
evaluations raw_y
1 6.4969740458
18 5.7621360019
101 3.1304703394
451 3.1502668979
523 1.9718681609
2735 2.2443661420
3033 1.5956747992
3383 1.4089275520
3405 1.3154278396
3418 0.9855423996
3435 0.8933792618
3463 0.8836445049
3476 0.8001831867
3478 0.7902504745
3484 0.7282458385
3557 0.7061444748
3619 0.6769300454
3626 0.5836203936
3663 0.5509496602
3669 0.4389022737
3707 0.4017330738
3732 0.3920985844
3829 0.3801903874
3905 0.3809533541
3933 0.3448150930
3969 0.3384248337
4015 0.3344850089
4025 0.3314554707
4043 0.3197720757
4083 0.2997795853
4105 0.2954156960
4125 0.2846928284
4154 0.2798395099
4192 0.2790430899
4202 0.2791003886
4206 0.2736101918
4216 0.2706972584
4245 0.2692021331
4316 0.2676449952
4365 0.2676132810
4419 0.2675873469
4442 0.2672401298
4461 0.2655366728
4471 0.2632788938
4539 0.2627498711
4581 0.2613886608
4592 0.2592773953
4678 0.2592631325
4808 0.2591645743
4815 0.2589906012
4848 0.2589257915
4921 0.2587940206
5000 0.2608822718
evaluations raw_y
1 23.1333736527
2 16.0907960398
3 8.4269355190
11 8.0591269627
18 5.2751125482
178 4.4093770332
1328 2.8871023046
1887 2.2907119747
5000 17.9267628306
evaluations raw_y
1 8.8368276483
3 8.9949934390
4 7.6729469189
28 7.2562323435
117 6.9106763701
130 5.2457839337
379 3.7255117220
778 3.3538597320
1305 3.0268962593
1442 2.9226077197
3530 1.6109398074
3580 1.2443676290
3647 1.1535574785
3692 1.1425038413
3757 1.1374309394
3811 1.0871750138
3846 1.0382460177
3922 1.0378451935
3923 1.0143615591
3930 0.9679306732
4010 0.9565260313
4034 0.9520589120
4119 0.9502468759
4144 0.9362107014
4196 0.9160132982
4346 0.9155516639
4404 0.9151473736
4415 0.9139054582
4448 0.9133967402
4449 0.9125371445
4456 0.9091811529
4500 0.9079325410
4548 0.9073195759
4641 0.9072058648
4663 0.9070359913
4666 0.9057392168
4696 0.9033750614
4851 0.9019568634
4889 0.9008282500
4961 0.9007852341
4968 0.9006076076
4969 0.9005276714
4985 0.9004079917
5000 0.9013769344
evaluations raw_y
1 13.3306298807
2 11.1090529525
10 11.0330322159
11 3.9069007398
79 2.1882339842
360 1.6020357500
3236 1.5985074700
3273 1.4055904238
3324 1.3587293631
3330 1.2953545080
3337 1.2367330914
3425 1.1346947235
3457 1.1178480903
3473 1.1066067931
3482 1.0215406010
3517 1.0205976055
3522 0.9892485590
3662 0.9858918993
3667 0.9824069872
3697 0.9790393416
3718 0.9769755487
3721 0.9763098757
3726 0.9634983180
3761 0.9587445332
3765 0.9492680261
3793 0.9428808840
3804 0.9397814499
3812 0.9326005764
3833 0.9313252079
3846 0.9273121130
3864 0.9266979699
3868 0.9229780712
3911 0.9207858848
3936 0.9202269704
3938 0.9186814983
3961 0.9181156138
3979 0.9179692838
3980 0.9167952341
3981 0.9155699275
3985 0.9152898708
3999 0.9137538979
4033 0.9103569617
4248 0.9101902508
4325 0.9101680520
4349 0.9100227141
4378 0.9096847177
4407 0.9096728173
4410 0.9095448295
4421 0.9094003760
4429 0.9092388421
4442 0.9092244735
4481 0.9092129330
4482 0.9091448303
4488 0.9088041914
4506 0.9083642876
4594 0.9081238630
4644 0.9079314229
4702 0.9079053765
4723 0.9078391221
4738 0.9078051573
4768 0.9077326751
4783 0.9075238688
4924 0.9075157361
4951 0.9074824196
4994 0.9074815087
5000 0.9075801691
evaluations raw_y
1 22.2070585797
4 17.9903727250
5 16.2791546796
6 9.4155225433
14 6.4043033763
47 4.2896874405
87 4.1891825374
118 3.3598576252
761 2.9752198737
780 2.6078926723
1681 2.3147515558
2386 1.4380891381
4598 1.4244204872
4605 1.4109405129
4621 1.3982203353
4644 1.3955730144
4681 1.3590824154
4699 1.1863631971
4756 1.0291193134
4843 0.9909679241
4857 0.9895318883
4863 0.9563352910
4865 0.9122106110
4874 0.8794690058
5000 1.0179865333
evaluations raw_y
1 6.2486566941
3 2.8321928109
317 1.8331382503
5000 1.9077925957
evaluations raw_y
1 11.3980442284
6 9.7935284629
10 8.0203616947
23 6.9085567240
30 5.3926070238
43 2.8134571360
988 2.5116127937
2200 2.3856151106
2253 2.2269529439
4930 1.5082501566
5000 5.3335993605
evaluations raw_y
1 18.8615688255
2 14.4020193930
4 7.9026312252
6 6.7621013748
65 6.4869973833
68 6.5099619804
92 5.6879013913
102 5.1594938296
115 5.0810631823
150 2.8090388488
460 1.0151164198
608 1.8066648543
