evaluations raw_y
1 8.0725668595
2 7.7744401018
4 7.3309779127
22 7.3254756923
26 4.3337965496
71 2.6546617109
2075 1.7386951278
4409 1.3312809442
4426 1.0916083310
4878 0.9766309855
5034 0.9306576583
5045 0.7801224979
5362 0.7421296163
5423 0.7239225085
5448 0.7187771952
5453 0.6336639077
5479 0.6299005085
5487 0.6227430778
5539 0.6159384111
5558 0.5989563660
5569 0.5806260106
5628 0.5652108044
5675 0.5339486467
5860 0.5275226085
5927 0.5255365319
5928 0.5218419113
5951 0.5177426075
6024 0.5159472470
6029 0.5144952469
6084 0.5000815303
6122 0.4977690649
6161 0.4822394140
6340 0.4792613914
6363 0.4736027185
6573 0.4727641379
6612 0.4725288623
6621 0.4700054568
6639 0.4670720629
6652 0.4663215712
6686 0.4627230765
6718 0.4610498549
6818 0.4597819851
6876 0.4590781648
6899 0.4589167587
6939 0.4563564412
7011 0.4561915419
7055 0.4555287293
7173 0.4542446120
7223 0.4541563931
7318 0.4541326307
7331 0.4539512551
7342 0.4535585621
7369 0.4531159566
7415 0.4531064825
7431 0.4528972263
7486 0.4520366140
7691 0.4519797815
7699 0.4519242459
7728 0.4519121713
7733 0.4518542794
7762 0.4515640737
7863 0.4514787239
7906 0.4514268794
8082 0.4514023260
8170 0.4513882273
8242 0.4513668248
8299 0.4513356514
8417 0.4513146470
8419 0.4513136967
8496 0.4513098937
8690 0.4512800677
8831 0.4512788254
8952 0.4512688438
9031 0.4512643943
9098 0.4512642847
9156 0.4512638769
9171 0.4512620149
9204 0.4512577191
9240 0.4512545337
9246 0.4512507351
9321 0.4512428439
9627 0.4512411779
9752 0.4512395891
9822 0.4512392694
9831 0.4512389086
9983 0.4512388998
9997 0.4512387060
10027 0.4512386130
10073 0.4512383927
10098 0.4512364003
10277 0.4512360207
10568 0.4512359616
10615 0.4512358921
10664 0.4512358495
10685 0.4512357061
10728 0.4512353943
10980 0.4512353805
11003 0.4512350290
11073 0.4512349928
11104 0.4512349011
11149 0.4512347036
11455 0.4512346213
11524 0.4512345754
11641 0.4512345527
11697 0.4512345494
11721 0.4512345196
11724 0.4512344299
12222 0.4512344254
12223 0.4512344232
12226 0.4512344221
12276 0.4512344153
12371 0.4512344134
12380 0.4512344051
12547 0.4512344040
12579 0.4512344035
12668 0.4512343996
12801 0.4512343993
12845 0.4512343982
12855 0.4512343961
13018 0.4512343955
13022 0.4512343950
13149 0.4512343945
13284 0.4512343943
13510 0.4512343938
13519 0.4512343934
13593 0.4512343926
13653 0.4512343925
13767 0.4512343923
13791 0.4512343921
13902 0.4512343918
14096 0.4512343916
14114 0.4512343915
14348 0.4512343913
14765 0.4512343912
50000 0.4512343912
evaluations raw_y
1 25.0375471018
2 12.9533141456
3 11.0336023087
4 9.0286928384
16 6.6330102574
20 7.9941496712
21 5.1939061716
61 2.9317445452
107 2.1886058400
4331 2.1990058901
4411 2.0398895395
4520 1.9653064796
4553 1.9130778848
4603 1.9060145396
4642 1.8312303821
4655 1.7910418747
4731 1.7068341711
4849 1.6360369647
4900 1.4470283713
5062 1.4277336685
5115 1.3957709554
5376 1.3346324969
5528 1.3225554805
5666 1.3043446792
5734 1.2929078806
5921 1.2913290796
6123 1.2903753875
6199 1.2859711344
6484 1.2835448775
6533 1.2831531610
6565 1.2824739135
6588 1.2823339048
6594 1.2820195852
6609 1.2811559931
6715 1.2810717688
6839 1.2804306043
6894 1.2800724162
6977 1.2799111378
7003 1.2796622983
7017 1.2795362531
7200 1.2795318060
7238 1.2794138014
7266 1.2793691797
7272 1.2793637198
7318 1.2791747322
7493 1.2791594172
7623 1.2791559621
7751 1.2791121033
7781 1.2790541207
7807 1.2790219725
7962 1.2790002414
8006 1.2789620336
8043 1.2789498498
8147 1.2789455801
8394 1.2789369437
8535 1.2789318448
8580 1.2789241397
8827 1.2789201510
8958 1.2789199867
8966 1.2789185942
8971 1.2789155666
9003 1.2789105340
9156 1.2789100258
9175 1.2789095814
9213 1.2789093773
9267 1.2789082201
9334 1.2789078344
9363 1.2789076476
9374 1.2789072819
9407 1.2789072713
9427 1.2789068996
9601 1.2789065024
9842 1.2789064813
10072 1.2789063246
10157 1.2789062889
10170 1.2789061078
10822 1.2789060665
10948 1.2789060357
11163 1.2789060341
11202 1.2789059933
11277 1.2789059836
11449 1.2789059607
11674 1.2789059581
11763 1.2789059577
11768 1.2789059574
11777 1.2789059564
11842 1.2789059546
11921 1.2789059512
12153 1.2789059506
12211 1.2789059504
12345 1.2789059503
12400 1.2789059501
12408 1.2789059500
12412 1.2789059488
12571 1.2789059485
12669 1.2789059483
12770 1.2789059482
12802 1.2789059480
12965 1.2789059479
13540 1.2789059477
17457 1.2789059476
50000 1.2789059476
evaluations raw_y
1 13.7540103613
4 11.8581397636
5 9.9130001491
7 6.5318769018
79 5.6137774929
97 5.8118014051
114 3.5560960334
987 2.3968389708
1424 2.2512014046
4539 1.8272450349
7761 1.6557431004
7885 1.5011454851
7887 1.4828262034
7921 1.3936035735
8030 1.3415140009
8044 1.2829061807
8096 1.2693976396
8128 1.1056423847
8250 1.0586007739
8396 1.0455939236
8439 1.0093795876
8440 0.9783720721
8523 0.9095859077
8540 0.8989195743
8559 0.8372144631
8590 0.8010194841
8731 0.7982222717
8809 0.7771212428
8837 0.7653463794
8861 0.7512649408
8868 0.7502903948
8878 0.7353174227
8999 0.7083733489
9140 0.7060129002
9177 0.6978650221
9202 0.6969138194
9246 0.6944414239
9261 0.6896491401
9273 0.6881188762
9288 0.6718509204
9626 0.6712926267
9775 0.6703464058
9807 0.6675420054
10058 0.6658093098
10161 0.6651054792
10184 0.6633774428
10450 0.6625334736
10536 0.6623389064
10537 0.6617108735
10818 0.6612907820
11204 0.6612536852
11215 0.6610809520
11414 0.6610737786
11427 0.6610452356
11479 0.6610392903
11603 0.6610069837
11618 0.6609881813
11657 0.6609805777
11732 0.6609599274
11762 0.6609577100
11840 0.6609323279
12173 0.6609288267
12223 0.6609287018
12306 0.6608996257
12448 0.6608982816
12451 0.6608974446
12482 0.6608963610
12529 0.6608911225
12588 0.6608906504
12771 0.6608899861
12803 0.6608896506
12840 0.6608892995
12884 0.6608880815
12910 0.6608878093
12951 0.6608877778
12964 0.6608846779
13129 0.6608844882
13234 0.6608844848
13310 0.6608842384
13386 0.6608838181
13390 0.6608831627
13533 0.6608828985
13729 0.6608828783
13733 0.6608827946
13802 0.6608823771
14103 0.6608822511
14141 0.6608822178
14235 0.6608822045
14352 0.6608821640
14404 0.6608821505
14408 0.6608821304
14553 0.6608821271
14555 0.6608821041
14622 0.6608820909
14624 0.6608820822
14651 0.6608820507
14700 0.6608820490
14766 0.6608820451
14813 0.6608820257
14849 0.6608820209
14867 0.6608820151
14950 0.6608820053
14962 0.6608820041
14976 0.6608820027
