evaluations raw_y
1 25.4275591456
2 21.9614111432
3 7.0068259676
8 6.7759568784
9 4.6041323723
60 3.3495761165
359 3.1601022820
579 2.5879655755
1048 2.3324280618
5000 13.4599401195
evaluations raw_y
1 6.2391586746
30 5.1772280661
40 4.5477712723
94 4.5436119628
121 4.3172870193
194 3.8854423732
366 3.5512745242
781 3.3426669461
5000 14.7825803473
evaluations raw_y
1 28.7050060018
2 6.6339612332
75 6.2262744048
101 5.1251080210
127 4.5207166779
530 4.3881691475
580 3.3766393540
1659 3.4561080104
2944 2.6676081559
5000 23.0015174400
evaluations raw_y
1 17.0874406251
3 13.2306409213
6 12.0363486948
8 9.0338936378
34 8.6478027755
43 5.9738057834
48 5.6131496875
50 5.2393284561
52 3.6637960195
349 2.3767193359
1223 2.3150667774
1936 2.2075236529
5000 17.8167122232
evaluations raw_y
1 7.7422928193
8 7.4130605386
14 5.9039771766
27 5.6830089204
64 3.7301493709
145 3.0557180965
627 2.9375453879
2599 2.3848714090
5000 15.9484963085
evaluations raw_y
1 11.5092683848
5 5.5880903399
37 4.5616382548
56 4.3318518686
224 3.0479833355
2798 1.9646610387
5000 10.4846069976
evaluations raw_y
1 9.1511265408
7 6.9194418472
10 6.5552641608
14 4.3729789814
22 3.7194075819
75 2.4877959774
1966 2.2951066218
3706 2.2086529047
5000 18.6888602925
evaluations raw_y
1 12.6548910666
3 10.5616624616
4 9.3073177814
6 7.7995460658
12 7.3975522489
22 3.1191201606
35 3.1805285866
1517 2.4442965477
1856 1.8633524674
2801 1.6287173120
5000 7.8115315907
evaluations raw_y
1 14.5893906538
4 11.7186118149
7 8.5916264687
49 8.3507179982
69 7.3827997399
124 4.2653698433
171 4.1487010224
199 3.3435959104
938 1.7381304417
5000 10.3171846195
evaluations raw_y
1 20.4735463103
2 8.6222891541
3 7.6034982411
6 6.1807051949
19 3.4310152204
3387 1.9891687699
5000 19.4072924867
evaluations raw_y
1 10.7527289973
3 5.4217563952
32 4.7954315164
49 3.6143187654
1035 2.6681968917
2727 2.5149741946
2969 2.2418710529
4819 2.2146843596
5000 25.5767646555
evaluations raw_y
1 14.6022039000
2 10.2525342873
4 4.6034485247
221 4.3858637491
271 2.1110130898
3657 1.8956253773
5000 11.6742410147
evaluations raw_y
1 29.1456430179
2 7.2428602729
3 8.1783723625
5 7.6252186600
29 5.6335023403
121 3.1447057499
596 2.8553481445
3717 2.6287730268
5000 23.6138390508
evaluations raw_y
1 32.3941200595
2 26.9493884505
4 12.2206170055
5 7.6116200155
35 7.6210162779
59 5.5155066187
75 3.8924944960
94 3.5825633150
690 3.4958184326
715 2.8882744252
728 2.4121468004
5000 31.1697779985
evaluations raw_y
1 6.4361464006
26 4.8891799135
62 2.3257729634
3197 1.5953984073
5000 19.2513158441
evaluations raw_y
1 13.9341599353
5 8.2906939228
6 5.3505220158
34 3.1578403421
396 1.3091424419
5000 6.6402318303
evaluations raw_y
1 10.7220098085
2 6.4174112854
57 5.9125408837
76 5.5916872008
116 5.4439790566
160 2.4044071361
1675 1.6602707735
5000 11.7817025238
evaluations raw_y
1 8.8583931701
2 7.5762411413
3 3.8285286419
180 3.0676866985
598 2.1958138914
2105 2.6361357196
2651 2.0904822905
5000 23.8855665790
evaluations raw_y
1 24.8402508628
2 9.9032109486
4 6.5440882544
6 4.3068398193
21 4.1775935480
75 3.2790720744
86 2.6869666410
1227 2.0005331245
3413 1.6447716786
3573 1.5792353485
3672 1.5711856070
3689 1.0304483611
3972 0.8641522372
4001 0.7955243278
4007 0.5298991615
4130 0.5153192971
4284 0.4357758298
4414 0.3963309501
4560 0.3910291525
4566 0.3696965575
4706 0.3664073634
5000 2.0561031083
evaluations raw_y
1 16.1006159907
2 10.6250706796
3 9.0939114983
6 7.0448762991
11 5.4408905731
41 4.7046332292
291 4.3185709831
334 3.4786661799
455 3.2149449796
660 1.4951395882
5000 23.5604437864
