evaluations raw_y
1 10.4234313262
15 7.0631894950
22 6.9352740190
35 5.2330516452
62 4.2219204571
70 2.9170686903
1438 2.7040484756
1696 2.5747059024
3516 1.8010270596
5040 26.0934142415
evaluations raw_y
1 20.9554967104
2 19.9311019866
3 7.9890861909
20 5.7549355319
30 5.5808837077
34 5.3475216409
71 5.1868667643
175 3.4884678867
266 3.2060947476
294 3.1433569452
2673 3.0742585340
3067 2.7911160704
3953 2.7050145980
5040 16.9448602570
evaluations raw_y
1 10.7247929136
17 8.4643579027
19 7.4413303603
83 7.0570934902
89 6.2766014969
97 2.8675219714
1522 2.5438176058
4503 2.4223268695
4635 2.3673560123
5040 20.5726029347
evaluations raw_y
1 3.6897730477
115 2.7873856919
1010 2.2997119742
3912 2.0961654156
5040 16.2545644716
evaluations raw_y
1 20.5048977459
4 16.5691136418
5 8.4412471081
10 6.0823272624
16 4.3460617542
43 3.5429301171
417 3.5500060183
807 3.2551941043
1302 2.5446676822
2160 1.8324839320
5040 10.8439831766
evaluations raw_y
1 16.8864471389
3 10.9411234477
4 10.2204221349
6 6.5483775550
89 3.4067830234
872 1.8814338422
5040 12.9435746764
evaluations raw_y
1 15.6221798516
3 5.2976902495
28 3.7562888247
71 3.0109358062
294 2.7639325666
999 2.0124352086
5040 14.5227988737
evaluations raw_y
1 17.7126574193
6 6.4728454976
40 5.0396941195
71 4.0542837258
249 3.5046242713
272 3.2497325402
1858 2.7841632593
2269 2.7460001120
2487 2.4619789275
2636 2.1092501840
4510 1.9132426096
5040 6.7532291471
evaluations raw_y
1 19.8526168405
2 18.3504342230
4 5.7364914350
46 4.2958880194
91 3.3239966827
324 2.6001515640
746 1.8881687567
5040 20.7813574838
evaluations raw_y
1 12.1461244467
3 5.9007387764
18 4.9692066756
140 3.8140121932
242 3.1433148536
408 3.1983021864
1737 3.0880119281
2459 2.7473423237
2484 2.3015747055
2678 2.1197864898
5040 20.1104566912
evaluations raw_y
1 8.2729929831
8 7.8525649275
10 7.6531283151
12 6.9558320895
32 5.0239715460
69 4.1185368144
153 3.8651945033
509 2.9781074504
573 2.5709468758
4431 2.3511385926
4523 2.1103658298
5040 9.1829825411
evaluations raw_y
1 20.7149553435
2 11.8535981312
4 11.2126887554
9 10.5481272006
15 9.2068169415
16 8.8225510857
25 6.6497074265
30 4.8024115765
62 4.1486573000
332 3.4141613832
659 2.7842269554
1550 2.2018014293
5040 11.0123423245
evaluations raw_y
1 15.6035707873
2 10.0224058402
7 8.3249510403
9 7.6031456575
36 5.0963202098
48 4.3203862674
156 2.9252532551
399 3.1250666904
1017 2.0594088515
1896 2.3657294781
5040 10.6574721488
evaluations raw_y
1 12.5754982131
2 6.9548192490
18 6.6533063309
64 4.5440314619
67 3.4806063073
436 2.8486740803
499 2.1375718321
4711 1.6912976019
5040 13.8588489030
evaluations raw_y
1 15.1494069400
5 11.9338957628
8 7.7075543411
31 5.0592658210
100 4.6527689375
232 3.0239412576
2265 2.3159479470
2485 1.9175281339
5040 12.9543466529
evaluations raw_y
1 10.4027403832
2 6.1042376724
96 3.4177042174
699 3.0133699963
711 2.4973687049
3726 2.2941446087
4095 1.8266899136
5040 18.7320900903
evaluations raw_y
1 14.2959721072
3 11.8404228687
8 9.0030571636
11 8.1165962165
16 7.8416670158
22 7.8689647771
48 7.7769576128
49 7.3759139215
55 6.9968766090
70 6.5135255782
72 6.0557950476
144 5.4501967376
154 3.4971958817
165 3.3841676292
955 2.2908634732
2276 2.5432014705
5040 10.4937299519
evaluations raw_y
1 6.0267124680
26 5.5021312572
75 5.0855267956
138 3.0944935676
553 4.2283575899
564 4.0468913042
610 2.1096765876
708 3.0422165188
1676 1.8453883828
5040 13.1243758944
evaluations raw_y
1 14.6447040140
2 7.9138778185
57 2.5191007274
2096 1.9695394279
5040 21.3614080131
evaluations raw_y
1 11.7757358120
6 2.9248914492
441 3.2209799515
763 2.8810170166
1978 2.7854246468
2631 2.3310501508
4371 2.1617032551
5040 13.9555171328
