evaluations raw_y
1 13.9291292868
5 11.3995856564
7 7.8349100470
22 3.6162666905
227 2.6387388070
1594 2.0784121841
5000 14.5350382648
evaluations raw_y
1 12.2308244184
4 10.3224859899
8 10.0574099479
13 4.9670462270
22 7.7733133293
51 6.3401866567
85 6.1061296943
114 4.2387065653
274 4.1076668515
1183 3.4957930591
1188 3.4161264773
1644 2.6093342415
1675 2.0523728693
5000 5.0353158552
evaluations raw_y
1 10.0561510490
14 9.6361033713
19 3.2958109713
193 1.8817608311
5000 9.7033909029
evaluations raw_y
1 8.2295693894
16 7.2805809244
23 5.6450741229
35 4.1901790099
49 3.4928100677
449 2.0253596862
5000 31.3431624618
evaluations raw_y
1 11.2374056796
11 7.3236729400
21 7.3230438612
38 6.2607884036
53 5.7317031770
55 5.4628929123
106 5.1339981046
148 3.2941259853
301 2.7555170966
3902 1.4297953881
5000 19.4766780202
evaluations raw_y
1 11.7586181193
2 10.6891135086
9 8.6696478967
21 4.6162197455
24 5.1110708723
33 3.4100813774
171 2.6333410001
1188 2.3120978997
1766 1.4554139597
5000 9.2227739976
evaluations raw_y
1 15.3514135932
6 13.9979222347
8 11.1882984456
9 7.0599053086
24 6.2958848456
67 6.3967829107
71 4.7686452258
168 4.3375299689
228 4.0958027100
409 2.8401530687
901 2.1398309406
5000 20.2885152452
evaluations raw_y
1 18.2048456347
3 10.7920350765
5 8.7742047559
9 11.1874229262
20 11.0021326774
24 10.2946600672
25 9.9520055391
30 5.6730048570
90 3.9759034246
399 3.0485149889
893 2.9006861801
4120 2.3660204989
5000 26.9276281036
evaluations raw_y
1 7.1958086000
13 6.8492329303
33 3.8299737186
63 3.3865262663
326 3.1986074006
775 2.6936459012
2021 2.6814635381
4796 2.4743154420
4829 1.4360703378
5000 17.0381480042
evaluations raw_y
1 6.1535402382
31 5.7463058111
38 3.3337387257
2317 3.2503867054
2538 2.9486770570
2855 2.3298877205
4336 1.7160735927
5000 17.8981732593
evaluations raw_y
1 21.7023700514
3 14.6537307171
4 9.6042374421
9 8.1776736857
11 5.1083511027
82 4.4995168577
297 4.0739908896
1003 4.0226003704
1099 3.2192756328
1136 2.5846918388
2692 1.8815830005
5000 18.4800591484
evaluations raw_y
1 16.8714888741
5 10.3799966957
8 10.8937138767
16 11.3322376459
18 10.1888093634
25 9.1265211936
30 5.9497537515
74 2.8395052961
133 2.2980824194
3292 2.1647139755
5000 18.4578411832
evaluations raw_y
1 24.4299407731
2 19.6703624028
3 19.3522330403
4 10.7259884424
17 4.5861561985
199 4.3612902246
211 3.4123270304
1156 2.8749315358
1741 3.0759383107
2516 2.7699679121
4929 2.7261668325
5000 2.7418903029
evaluations raw_y
1 14.7125136153
4 14.5403849286
5 11.4769596788
6 4.2039199408
176 3.6665259395
252 2.0554481660
1857 1.9469301011
5000 17.3113341783
evaluations raw_y
1 17.8982331403
2 17.3039803717
3 11.2712006237
6 8.3208348048
24 5.4555682651
92 4.1021322786
119 4.2942153909
411 3.8581863778
508 3.4860973236
1320 2.1791022496
2935 1.9420423815
4293 1.5565162297
4914 1.1906147897
4955 1.1382731758
4967 1.0014021055
5000 2.6259957062
evaluations raw_y
1 22.5674896488
3 21.5933102190
5 15.6972116830
8 7.3716614165
24 3.9543037633
66 2.9895506863
1083 2.5192206696
4384 2.2489346045
5000 4.4790729650
evaluations raw_y
1 15.6732649588
3 7.0554926341
6 6.3574804297
8 6.1972083659
23 5.8565144238
25 5.6218133888
67 3.6632126257
105 2.4505944222
2055 1.5538671011
5000 8.6082216070
evaluations raw_y
1 25.7088987697
2 15.0345263383
3 9.9481891216
5 7.3041603371
28 6.1941917365
38 5.0254482030
43 3.9401020263
485 3.3017095426
3016 2.6926491555
4566 2.6219476035
4722 2.4453576338
5000 17.8201913725
evaluations raw_y
1 17.3251138146
2 14.5231732976
3 8.4562246650
5 6.9536818421
21 5.4798588777
83 4.3127327168
99 3.4047671348
374 2.2354174694
2260 1.3831619333
4373 1.7173761182
5000 10.9093986804
evaluations raw_y
1 19.1493899712
2 12.1284664438
3 8.6087184208
15 8.4510135432
20 6.0573839760
22 3.8143717469
25 4.5412577534
188 4.3927521665
425 4.1043081906
471 2.1870390353
4070 2.1370652888
5000 19.2122809437
