evaluations raw_y
1 25.1553635938
2 7.3506382289
3 7.2794363531
47 4.8604227691
130 3.5074906195
1615 2.4449324106
2738 2.2482061765
5000 12.0763790332
evaluations raw_y
1 20.0766996685
2 18.0645194838
3 13.0910192524
5 11.2563447268
9 7.7278413437
23 5.2178464559
37 4.9165673152
47 4.3976984412
92 4.3634731210
111 2.7928582835
598 2.0502008350
1717 1.4959496285
3724 1.1034198996
3843 0.9808431722
3909 0.7928197585
4005 0.6654036881
4039 0.6593038933
4210 0.6504461841
4213 0.5593960587
4263 0.5526217362
4278 0.5035320462
4294 0.4874975892
4328 0.4825792610
4350 0.4423138192
4353 0.4303960224
4354 0.4203021882
4357 0.3970162811
4411 0.3579396855
4423 0.3394146684
4525 0.3330001763
4768 0.3272896488
4800 0.3185030738
4822 0.3092686531
4903 0.2962231225
4932 0.2934708205
4946 0.2899171771
4981 0.2820391914
5000 0.3436735747
evaluations raw_y
1 16.2936357608
5 14.2030000602
6 5.9606838591
11 5.2354344439
166 5.1527775536
199 4.9624404403
303 4.3082522954
343 4.1558281701
452 3.6341651679
812 2.8749381308
1908 1.9833284072
1966 1.2688170971
5000 11.3911432528
evaluations raw_y
1 17.2474162600
3 7.3651148594
16 6.7312650316
57 2.1996291948
188 1.7834478232
5000 6.7692020107
evaluations raw_y
1 19.8516698666
2 5.2598532826
22 4.4747342361
162 3.7632003238
909 3.7131249073
1062 3.3982636314
2811 3.0149902392
4304 2.1103698718
4783 2.0258029081
5000 17.5849274783
evaluations raw_y
1 22.5606695761
2 16.3979467810
10 10.4301001136
16 7.5796989669
30 6.1779114116
89 5.3767422893
105 4.5234550361
156 3.8128559253
246 2.4821230255
533 2.4703085189
1839 2.3577452464
5000 12.0765268549
evaluations raw_y
1 10.5104096675
2 10.7796434633
9 6.5847283979
12 3.9197981329
75 3.2850264765
517 2.9483153294
1189 2.1106907639
2885 1.6676072696
4526 1.4580002718
5000 7.9029426822
evaluations raw_y
1 7.2596993627
10 6.6895972583
19 6.6000934437
31 6.4506425818
43 5.5521159797
55 4.7736893022
75 4.1738643257
387 3.7026240401
690 3.1711735642
2605 2.5523680331
3613 2.3078695252
5000 13.9288306466
evaluations raw_y
1 22.8333703908
2 6.7228910182
5 4.1373387183
23 3.9398943350
220 3.8519250503
562 1.7285560624
3322 1.8221721742
4786 1.0065993897
4815 0.9084906027
4837 0.8496563371
5000 1.5721852347
evaluations raw_y
1 12.2647219200
4 11.3683766283
5 9.2751823686
32 8.2955181586
83 2.1150071816
4520 1.9950964891
5000 13.1407381196
evaluations raw_y
1 16.7997023864
4 9.4772829328
5 7.0145415857
10 6.5792459967
32 5.1958575722
97 5.0357972240
138 4.9610180190
156 4.7542570363
191 2.7581061125
384 2.3409119320
2674 2.0446277625
4422 1.6708286077
4438 1.3436339331
4455 0.8492961615
4704 0.8048634365
4802 0.6350427980
4953 0.6264352804
4991 0.5049385290
5000 1.7443667448
evaluations raw_y
1 16.6115743670
2 12.0595043006
3 11.9055503713
8 4.4682646004
37 4.0666629333
175 3.8628371857
248 3.6866530251
301 3.6301299199
405 3.2962596129
1118 3.1284260885
2276 2.7743678381
2731 2.3228515699
2923 2.4002082574
5000 8.8323755840
evaluations raw_y
1 14.0044011745
2 7.2541715201
5 3.6151243104
1338 2.7168302788
3709 2.6244708519
5000 4.6503991804
evaluations raw_y
1 15.3399428534
3 7.9936844281
9 9.1608735412
72 8.7676044203
73 8.1193675827
75 7.8843701959
85 5.0563264128
87 4.7216304764
147 2.6995549311
5000 18.6953156585
evaluations raw_y
1 26.5429251953
2 12.3719955011
5 10.8836133640
7 6.5832187313
12 5.5268681721
19 5.0363991211
108 2.7966550697
1065 2.7424044135
1842 2.6786788549
2524 2.0563355501
5000 13.9788310327
evaluations raw_y
1 16.5051062346
2 15.2401953950
4 13.9201149051
6 9.6089995189
12 7.1526461405
17 4.7721860479
87 3.4694127648
257 3.1510874714
1221 3.1340481764
4493 2.9980496752
5000 8.8956811087
evaluations raw_y
1 13.6906020958
4 10.8983065004
14 5.6488341373
44 5.3442181609
76 4.4756914784
94 3.9471348035
207 3.6053307416
376 1.6801799899
5000 15.0825932022
evaluations raw_y
1 34.6241166597
2 19.0806062743
3 2.8690218279
1999 1.7969358688
5000 9.3173006482
evaluations raw_y
1 13.8571698886
5 13.8209907057
8 9.5503571118
10 8.5189868565
14 5.1495723256
70 4.4898245297
307 4.4477040002
319 3.0685752240
1450 2.7664027452
1666 1.6922533169
5000 17.4916601107
evaluations raw_y
1 17.3701724695
2 7.6438168748
10 7.3193327584
19 3.2619834395
228 2.8421448731
664 1.9899487818
5000 6.9274309377
